"n","dt","x1","x2","x3"
19,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
19,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
20,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
16,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
17,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
21,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
17,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
17,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
17,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
16,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
14,30,-0.663916947320104,-0.407393766567111,-0.967632449697703
14,30,-0.0244420745875686,-0.473000783938915,-0.827365542994812
16,30,0.615032798144966,-0.538607801310718,-0.687098636291921
12,30,0.615032798144966,-0.538607801310718,-0.687098636291921
19,30,0.615032798144966,-0.538607801310718,-0.687098636291921
17,30,0.615032798144966,-0.538607801310718,-0.687098636291921
18,30,0.615032798144966,-0.538607801310718,-0.687098636291921
13,30,0.615032798144966,-0.538607801310718,-0.687098636291921
17,30,0.615032798144966,-0.538607801310718,-0.687098636291921
17,30,0.615032798144966,-0.538607801310718,-0.687098636291921
14,30,0.615032798144966,-0.538607801310718,-0.687098636291921
17,30,0.615032798144966,-0.538607801310718,-0.687098636291921
13,30,0.615032798144966,-0.538607801310718,-0.687098636291921
12,30,0.615032798144966,-0.538607801310718,-0.687098636291921
17,30,0.167601453523864,0.185272240518209,-0.743472711237914
14,30,-0.23011529725045,0.828721166588366,-0.793583000078797
23,30,-0.23011529725045,0.828721166588366,-0.793583000078797
26,30,-0.23011529725045,0.828721166588366,-0.793583000078797
12,30,-0.23011529725045,0.828721166588366,-0.793583000078797
27,30,-0.23011529725045,0.828721166588366,-0.793583000078797
25,30,-0.23011529725045,0.828721166588366,-0.793583000078797
24,30,-0.23011529725045,0.828721166588366,-0.793583000078797
25,30,-0.23011529725045,0.828721166588366,-0.793583000078797
18,30,-0.249184641987085,0.63474379813609,-0.672742794888715
19,30,-0.344531365670264,-0.335143044125289,-0.068541768938303
15,30,-0.344531365670264,-0.335143044125289,-0.068541768938303
19,30,-0.344531365670264,-0.335143044125289,-0.068541768938303
